#name, z, mag, mag_err
SN188 0.1530 19.70 0.03
SN189 0.0950 18.64 0.04
SN190 0.2880 21.60 0.05
SN191 0.1950 21.00 0.04
SN192 0.1480 19.58 0.03
SN193 0.2130 21.78 0.05
SN194 0.1810 20.57 0.03
SN195 0.2650 21.15 0.04
SN196 0.1930 20.65 0.03
SN197 0.3400 21.79 0.07
SN198 0.1180 19.80 0.03
SN199 0.1430 19.82 0.03
SN200 0.1620 20.23 0.03
SN201 0.2900 21.56 0.06
SN202 0.1240 19.97 0.05
SN203 0.2650 21.35 0.04
SN204 0.1270 20.04 0.03
SN205 0.1740 20.24 0.03
SN206 0.1650 20.25 0.03
SN207 0.2510 21.57 0.04
SN208 0.2590 21.00 0.05
SN209 0.1610 20.33 0.03
SN210 0.2060 21.10 0.04
SN211 0.2450 20.78 0.04
SN212 0.2500 20.94 0.04
SN213 0.2300 20.81 0.04
SN214 0.0870 18.75 0.03
SN215 0.0630 18.03 0.04
SN216 0.2790 21.90 0.06
SN217 0.2770 21.52 0.05
SN218 0.1560 20.35 0.03
SN219 0.3320 21.95 0.06
SN220 0.3630 22.10 0.07
SN221 0.3320 22.10 0.07
SN222 0.1460 20.38 0.03
SN223 0.3900 22.23 0.08
SN224 0.1750 20.30 0.05
SN225 0.3010 21.69 0.06
SN226 0.1170 19.46 0.03
SN227 0.2200 21.17 0.03
SN228 0.1210 19.65 0.03
SN229 0.1560 19.83 0.02
SN230 0.4100 22.47 0.09
SN231 0.1790 20.90 0.04
SN232 0.2520 21.35 0.04
SN233 0.2530 21.41 0.04
SN234 0.3930 22.33 0.08
SN235 0.1300 20.13 0.02
SN236 0.4010 22.19 0.10
SN237 0.3110 21.57 0.05
SN238 0.1720 20.44 0.03
SN239 0.2800 21.46 0.05
SN240 0.3100 21.80 0.07
SN241 0.1870 20.46 0.04
SN242 0.0670 18.66 0.04
SN243 0.3180 22.12 0.08
SN244 0.2590 21.52 0.04
SN245 0.3000 21.52 0.06
SN246 0.2720 21.69 0.04
SN247 0.2810 21.49 0.05
SN248 0.2940 21.78 0.04
SN249 0.1900 20.95 0.03
SN250 0.2670 20.93 0.04
SN251 0.1250 19.62 0.03
SN252 0.1840 20.27 0.03
SN253 0.3140 21.58 0.05
SN254 0.3110 21.80 0.05
SN255 0.0900 18.67 0.04
SN256 0.4040 22.50 0.09
SN257 0.2020 20.98 0.05
SN258 0.3280 21.63 0.05
SN259 0.2130 20.83 0.03
SN260 0.1810 20.55 0.03
SN261 0.0940 19.16 0.03
SN262 0.3040 22.06 0.04
SN263 0.1100 19.52 0.03
SN264 0.0870 18.80 0.08
SN265 0.2040 20.77 0.04
SN266 0.1980 21.27 0.04
SN267 0.1280 19.79 0.05
SN268 0.2160 20.89 0.03
SN269 0.3220 21.53 0.04
SN270 0.2190 21.11 0.04
SN271 0.1910 20.65 0.03
SN272 0.0940 19.06 0.05
SN273 0.3810 21.93 0.05
SN274 0.2120 21.21 0.03
SN275 0.3680 22.25 0.09
SN276 0.4220 22.52 0.07
SN277 0.2590 21.60 0.04
SN278 0.1850 21.11 0.04
SN279 0.2140 20.80 0.05
SN280 0.3610 22.41 0.07
SN281 0.3950 22.22 0.06
SN282 0.1160 19.38 0.03
SN283 0.1450 19.94 0.03
SN284 0.2540 21.35 0.06
SN285 0.3890 22.23 0.08
SN286 0.3500 22.07 0.08
SN287 0.2570 21.41 0.07
SN288 0.2180 21.06 0.06
SN289 0.1080 19.36 0.10
SN290 0.4300 22.63 0.15
SN291 0.6200 23.29 0.08
SN292 0.5700 23.39 0.07
SN293 0.3000 21.92 0.05
SN294 0.3800 22.61 0.05
SN295 0.4300 22.58 0.08
SN296 0.2400 21.64 0.15
SN297 0.4400 22.73 0.06
SN298 0.5000 23.12 0.07
SN299 0.9700 24.69 0.14
SN300 0.4790 22.69 0.07
SN301 0.8300 24.31 0.11
SN302 0.4160 22.32 0.09
SN303 0.5810 23.19 0.10
SN304 0.4500 22.87 0.08
SN305 0.5790 23.52 0.10
SN306 0.3200 21.82 0.05
SN307 0.6570 23.86 0.11
SN308 0.4300 22.56 0.08
SN309 0.4720 23.13 0.06
SN310 0.1800 20.15 0.14
SN311 0.5500 23.59 0.10
SN312 0.5920 24.28 0.12
SN313 0.1720 20.43 0.12
SN314 0.5260 23.18 0.06
SN315 0.7630 24.27 0.27
SN316 0.5800 23.49 0.08
SN317 0.4300 23.20 0.06
SN318 0.4500 23.22 0.09
SN319 0.6560 23.74 0.10
SN320 0.4950 22.82 0.05
SN321 0.5700 23.27 0.06
SN322 0.3880 22.49 0.08
SN323 0.4500 22.60 0.10
SN324 0.4800 23.05 0.07
SN325 0.6150 23.16 0.08
SN326 0.4000 22.20 0.08
SN327 0.6550 23.17 0.08
SN328 0.4980 23.66 0.08
SN329 0.4650 23.41 0.08
SN330 0.4530 23.18 0.10
SN331 0.3740 21.76 0.05
SN332 0.5140 22.78 0.26
SN333 0.4230 22.62 0.07
SN334 0.8590 24.68 0.10
SN335 0.9360 24.82 0.17
SN336 0.5280 23.03 0.11
SN337 0.9780 24.44 0.11
SN338 0.8850 24.17 0.10
SN339 0.8150 24.83 0.25
SN340 0.6980 24.39 0.14
SN341 0.5680 23.00 0.08
SN342 0.7110 23.81 0.11
SN343 0.3396 22.03 0.10
SN344 0.3965 22.39 0.07
SN345 0.8120 24.86 0.11
SN346 0.7990 24.69 0.08
SN347 0.8820 24.71 0.16
SN348 0.8330 24.22 0.11
SN349 0.8740 25.07 0.12
SN350 0.7720 23.71 0.08
SN351 0.1780 21.58 0.12
SN352 0.2600 21.31 0.04
SN353 0.1860 20.78 0.03
SN354 0.2690 21.80 0.05
SN355 0.2150 20.94 0.03
SN356 0.5430 23.03 0.06
SN357 0.7500 23.86 0.08
SN358 0.6400 23.83 0.07
SN359 0.4300 22.87 0.05
SN360 0.6400 23.65 0.07
SN361 0.4970 23.10 0.07
SN362 0.4400 23.19 0.05
SN363 0.3550 22.66 0.06
SN364 0.7800 24.23 0.08
SN365 0.5400 23.15 0.05
SN366 0.8600 24.47 0.09
SN367 0.4680 23.81 0.05
SN368 0.8400 24.32 0.08
SN369 0.9600 24.56 0.11
SN370 0.8218 24.34 0.08
SN371 0.9300 24.69 0.10
